Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iceland,ISL,-7.66380956025947,-2.83277491540855,1.84577915624217
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,7.86188883244891,8.49758470212609,5.24131500151445
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,4.62887118346032,6.2238541798264,6.16978420771008
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Iran, Islamic Rep.",IRN,1.00738546285622,5.79793829590261,2.64571792008958
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iraq,IRQ,3.37929909442771,6.40256484471193,7.546471200426
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ireland,IRL,-5.0957831845721,1.68297202204354,1.28075209135081
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Isle of Man,IMN,2.10000027181374,3.39999842395957,1.99999938207415
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Israel,ISR,0.883120393565378,5.66851511790733,5.56113907589013
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,-5.2809372082931,1.71329583916922,0.707333347034435
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jamaica,JAM,-4.3453018579464,-1.45714720947502,1.73037626746921
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,-5.69323635882266,4.09791791930137,0.0238095237748297
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jordan,JOR,5.02371007272669,2.31483422063046,2.73717988632104
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kazakhstan,KAZ,1.19999999942873,7.30000000329814,7.40000000144188
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kenya,KEN,3.30693981631089,8.05847360290906,5.1211061197056
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kiribati,KIR,0.802819886903677,-1.12026026125162,1.76257601036156
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Dem. People's Rep.",PRK,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Rep.",KOR,0.792698989518186,6.80482491783671,3.68566778212526
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kosovo,XKX,5.03485413839893,4.93995054897727,6.31981068675161
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kuwait,KWT,-7.07605643073411,-2.37026412020438,9.6284069747757
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kyrgyz Republic,KGZ,2.88629457537593,-0.471566601130064,5.95627430862645
